DateTime,Month,Day,Hour,Minute,Detection
2020-04-19 00:05:17,4,19,0,5,1
2020-04-19 00:07:50,4,19,0,7,1
2020-04-19 00:07:59,4,19,0,7,1
2020-04-19 00:08:02,4,19,0,8,1
2020-04-19 00:08:07,4,19,0,8,1
2020-04-19 00:08:12,4,19,0,8,1
2020-04-19 00:08:15,4,19,0,8,1
2020-04-19 00:08:18,4,19,0,8,1
2020-04-19 00:08:21,4,19,0,8,1
2020-04-19 00:08:26,4,19,0,8,1
2020-04-19 00:09:20,4,19,0,9,1
2020-04-19 00:09:26,4,19,0,9,1
2020-04-19 00:10:11,4,19,0,10,1
2020-04-19 00:10:34,4,19,0,10,1
2020-04-19 00:10:37,4,19,0,10,1
2020-04-19 00:10:51,4,19,0,10,1
2020-04-19 00:10:54,4,19,0,10,1
2020-04-19 00:11:07,4,19,0,11,1
2020-04-19 00:11:10,4,19,0,11,1
2020-04-19 00:11:13,4,19,0,11,1
2020-04-19 00:11:16,4,19,0,11,1
2020-04-19 00:11:19,4,19,0,11,1
2020-04-19 00:11:22,4,19,0,11,1
2020-04-19 00:11:24,4,19,0,11,1
2020-04-19 00:11:30,4,19,0,11,1
2020-04-19 00:11:34,4,19,0,11,1
2020-04-19 00:11:44,4,19,0,11,1
2020-04-19 00:11:47,4,19,0,11,1
2020-04-19 00:11:58,4,19,0,11,1
2020-04-19 00:12:07,4,19,0,12,1
2020-04-19 00:12:13,4,19,0,12,1
2020-04-19 00:12:31,4,19,0,12,1
2020-04-19 00:12:34,4,19,0,12,1
2020-04-19 00:12:40,4,19,0,12,1
2020-04-19 00:12:43,4,19,0,12,1
2020-04-19 00:12:46,4,19,0,12,1
2020-04-19 00:13:31,4,19,0,13,1
2020-04-19 00:13:37,4,19,0,13,1
2020-04-19 00:13:43,4,19,0,13,1
2020-04-19 00:14:25,4,19,0,14,1
2020-04-19 00:14:29,4,19,0,14,1
2020-04-19 00:14:32,4,19,0,14,1
2020-04-19 00:17:00,4,19,0,17,1
2020-04-19 00:17:19,4,19,0,17,1
2020-04-19 00:17:39,4,19,0,17,1
2020-04-19 00:17:42,4,19,0,17,1
2020-04-19 00:18:00,4,19,0,18,1
2020-04-19 00:18:03,4,19,0,18,1
2020-04-19 00:18:06,4,19,0,18,1
2020-04-19 00:19:35,4,19,0,19,1
2020-04-19 00:28:48,4,19,0,28,1
2020-04-19 00:31:31,4,19,0,31,1
2020-04-19 00:32:09,4,19,0,32,1
2020-04-19 00:34:15,4,19,0,34,1
2020-04-19 00:34:24,4,19,0,34,1
2020-04-19 00:35:32,4,19,0,35,1
2020-04-19 00:35:50,4,19,0,35,1
2020-04-19 00:36:50,4,19,0,36,1
2020-04-19 00:55:30,4,19,0,55,1
2020-04-19 00:56:35,4,19,0,56,1
2020-04-19 00:59:21,4,19,0,59,1
2020-04-19 01:03:57,4,19,1,3,1
2020-04-19 01:04:27,4,19,1,4,1
2020-04-19 01:21:37,4,19,1,21,1
2020-04-19 01:26:24,4,19,1,26,1
2020-04-19 01:27:37,4,19,1,27,1
2020-04-19 01:27:58,4,19,1,27,1
2020-04-19 01:28:08,4,19,1,28,1
2020-04-19 01:28:43,4,19,1,28,1
2020-04-19 01:36:00,4,19,1,36,1
2020-04-19 01:42:52,4,19,1,42,1
2020-04-19 01:43:57,4,19,1,43,1
2020-04-19 01:44:09,4,19,1,44,1
2020-04-19 01:44:15,4,19,1,44,1
2020-04-19 01:44:51,4,19,1,44,1
2020-04-19 01:45:51,4,19,1,45,1
2020-04-19 01:48:43,4,19,1,48,1
2020-04-19 01:48:47,4,19,1,48,1
2020-04-19 01:48:49,4,19,1,48,1
2020-04-19 01:48:52,4,19,1,48,1
2020-04-19 01:49:35,4,19,1,49,1
2020-04-19 01:50:02,4,19,1,50,1
2020-04-19 01:50:50,4,19,1,50,1
2020-04-19 01:51:02,4,19,1,51,1
2020-04-19 02:04:19,4,19,2,4,1
2020-04-19 02:12:57,4,19,2,12,1
2020-04-19 02:13:42,4,19,2,13,1
2020-04-19 02:13:54,4,19,2,13,1
2020-04-19 02:16:31,4,19,2,16,1
2020-04-19 02:22:07,4,19,2,22,1
2020-04-19 02:29:23,4,19,2,29,1
2020-04-19 02:34:30,4,19,2,34,1
2020-04-19 02:34:42,4,19,2,34,1
2020-04-19 02:35:09,4,19,2,35,1
2020-04-19 02:36:15,4,19,2,36,1
2020-04-19 02:36:57,4,19,2,36,1
2020-04-19 02:37:00,4,19,2,37,1
2020-04-19 02:37:03,4,19,2,37,1
2020-04-19 02:38:07,4,19,2,38,1
2020-04-19 02:48:21,4,19,2,48,1
2020-04-19 02:50:33,4,19,2,50,1
2020-04-19 02:50:43,4,19,2,50,1
2020-04-19 02:56:29,4,19,2,56,1
2020-04-19 02:57:29,4,19,2,57,1
2020-04-19 02:57:51,4,19,2,57,1
2020-04-19 02:59:08,4,19,2,59,1
2020-04-19 03:00:55,4,19,3,0,1
2020-04-19 03:14:08,4,19,3,14,1
2020-04-19 03:17:56,4,19,3,17,1
2020-04-19 03:18:03,4,19,3,18,1
2020-04-19 03:21:27,4,19,3,21,1
2020-04-19 03:22:33,4,19,3,22,1
2020-04-19 03:33:39,4,19,3,33,1
2020-04-19 03:36:34,4,19,3,36,1
2020-04-19 03:36:43,4,19,3,36,1
2020-04-19 03:38:23,4,19,3,38,1
2020-04-19 03:38:44,4,19,3,38,1
2020-04-19 03:38:50,4,19,3,38,1
2020-04-19 03:39:38,4,19,3,39,1
2020-04-19 03:39:50,4,19,3,39,1
2020-04-19 03:41:38,4,19,3,41,1
2020-04-19 03:41:41,4,19,3,41,1
2020-04-19 03:43:32,4,19,3,43,1
2020-04-19 03:43:50,4,19,3,43,1
2020-04-19 03:43:54,4,19,3,43,1
2020-04-19 04:00:56,4,19,4,0,1
2020-04-19 04:04:22,4,19,4,4,1
2020-04-19 04:06:22,4,19,4,6,1
2020-04-19 04:08:02,4,19,4,8,1
2020-04-19 04:10:39,4,19,4,10,1
2020-04-19 04:10:48,4,19,4,10,1
2020-04-19 04:12:39,4,19,4,12,1
2020-04-19 04:13:34,4,19,4,13,1
2020-04-19 04:16:11,4,19,4,16,1
2020-04-19 04:17:50,4,19,4,17,1
2020-04-19 04:23:04,4,19,4,23,1
2020-04-19 04:23:10,4,19,4,23,1
2020-04-19 04:23:37,4,19,4,23,1
2020-04-19 04:23:40,4,19,4,23,1
2020-04-19 04:23:46,4,19,4,23,1
2020-04-19 04:23:49,4,19,4,23,1
2020-04-19 04:24:48,4,19,4,24,1
2020-04-19 04:28:06,4,19,4,28,1
2020-04-19 04:40:40,4,19,4,40,1
2020-04-19 04:41:10,4,19,4,41,1
2020-04-19 04:41:14,4,19,4,41,1
2020-04-19 04:47:45,4,19,4,47,1
2020-04-19 04:47:54,4,19,4,47,1
2020-04-19 04:52:53,4,19,4,52,1
2020-04-19 05:00:12,4,19,5,0,1
2020-04-19 05:01:11,4,19,5,1,1
2020-04-19 05:08:30,4,19,5,8,1
2020-04-19 05:09:57,4,19,5,9,1
2020-04-19 05:16:58,4,19,5,16,1
2020-04-19 05:22:50,4,19,5,22,1
2020-04-19 06:58:52,4,19,6,58,1
2020-04-19 07:01:10,4,19,7,1,1
2020-04-19 07:35:42,4,19,7,35,1
2020-04-19 07:36:31,4,19,7,36,1
2020-04-19 07:49:35,4,19,7,49,1
2020-04-19 07:49:41,4,19,7,49,1
2020-04-19 07:51:17,4,19,7,51,1
2020-04-19 07:51:25,4,19,7,51,1
2020-04-19 07:51:35,4,19,7,51,1
2020-04-19 07:51:47,4,19,7,51,1
2020-04-19 07:52:08,4,19,7,52,1
2020-04-19 07:52:11,4,19,7,52,1
2020-04-19 07:52:14,4,19,7,52,1
2020-04-19 08:10:44,4,19,8,10,1
2020-04-19 08:12:38,4,19,8,12,1
2020-04-19 08:12:41,4,19,8,12,1
2020-04-19 08:13:04,4,19,8,13,1
2020-04-19 08:13:06,4,19,8,13,1
2020-04-19 08:14:23,4,19,8,14,1
2020-04-19 08:14:44,4,19,8,14,1
2020-04-19 08:15:03,4,19,8,15,1
2020-04-19 08:15:11,4,19,8,15,1
2020-04-19 08:15:23,4,19,8,15,1
2020-04-19 08:16:33,4,19,8,16,1
2020-04-19 08:16:45,4,19,8,16,1
2020-04-19 08:16:59,4,19,8,16,1
2020-04-19 08:17:26,4,19,8,17,1
2020-04-19 08:21:19,4,19,8,21,1
2020-04-19 08:23:16,4,19,8,23,1
2020-04-19 08:24:46,4,19,8,24,1
2020-04-19 08:27:21,4,19,8,27,1
2020-04-19 08:28:09,4,19,8,28,1
2020-04-19 08:28:51,4,19,8,28,1
2020-04-19 08:29:06,4,19,8,29,1
2020-04-19 08:29:09,4,19,8,29,1
2020-04-19 08:29:36,4,19,8,29,1
2020-04-19 08:30:19,4,19,8,30,1
2020-04-19 08:30:59,4,19,8,30,1
2020-04-19 08:32:08,4,19,8,32,1
2020-04-19 08:36:08,4,19,8,36,1
2020-04-19 08:36:20,4,19,8,36,1
2020-04-19 08:36:35,4,19,8,36,1
2020-04-19 08:36:38,4,19,8,36,1
2020-04-19 08:36:41,4,19,8,36,1
2020-04-19 08:36:56,4,19,8,36,1
2020-04-19 08:36:59,4,19,8,36,1
2020-04-19 08:37:11,4,19,8,37,1
2020-04-19 08:41:33,4,19,8,41,1
2020-04-19 08:45:46,4,19,8,45,1
2020-04-19 08:45:49,4,19,8,45,1
2020-04-19 08:46:01,4,19,8,46,1
2020-04-19 08:46:10,4,19,8,46,1
2020-04-19 08:46:13,4,19,8,46,1
2020-04-19 08:48:07,4,19,8,48,1
2020-04-19 08:53:00,4,19,8,53,1
2020-04-19 08:53:09,4,19,8,53,1
2020-04-19 08:53:39,4,19,8,53,1
2020-04-19 08:54:17,4,19,8,54,1
2020-04-19 08:55:29,4,19,8,55,1
2020-04-19 08:56:08,4,19,8,56,1
2020-04-19 08:56:42,4,19,8,56,1
2020-04-19 08:58:50,4,19,8,58,1
2020-04-19 08:59:54,4,19,8,59,1
2020-04-19 08:59:57,4,19,8,59,1
2020-04-19 09:00:00,4,19,9,0,1
2020-04-19 09:20:53,4,19,9,20,1
2020-04-19 09:21:17,4,19,9,21,1
2020-04-19 09:24:46,4,19,9,24,1
2020-04-19 09:25:30,4,19,9,25,1
2020-04-19 09:27:37,4,19,9,27,1
2020-04-19 09:28:10,4,19,9,28,1
2020-04-19 09:28:15,4,19,9,28,1
2020-04-19 09:28:18,4,19,9,28,1
2020-04-19 09:28:21,4,19,9,28,1
2020-04-19 09:28:24,4,19,9,28,1
2020-04-19 09:28:27,4,19,9,28,1
2020-04-19 09:28:32,4,19,9,28,1
2020-04-19 09:28:35,4,19,9,28,1
2020-04-19 09:28:38,4,19,9,28,1
2020-04-19 09:28:43,4,19,9,28,1
2020-04-19 09:28:51,4,19,9,28,1
2020-04-19 09:28:52,4,19,9,28,1
2020-04-19 09:31:43,4,19,9,31,1
2020-04-19 09:32:55,4,19,9,32,1
2020-04-19 09:36:36,4,19,9,36,1
2020-04-19 09:53:35,4,19,9,53,1
2020-04-19 09:53:41,4,19,9,53,1
2020-04-19 09:53:53,4,19,9,53,1
2020-04-19 10:13:55,4,19,10,13,1
2020-04-19 10:14:07,4,19,10,14,1
2020-04-19 10:14:10,4,19,10,14,1
2020-04-19 10:14:49,4,19,10,14,1
2020-04-19 10:14:53,4,19,10,14,1
2020-04-19 10:19:13,4,19,10,19,1
2020-04-19 10:20:22,4,19,10,20,1
2020-04-19 10:20:42,4,19,10,20,1
2020-04-19 10:20:45,4,19,10,20,1
2020-04-19 10:20:48,4,19,10,20,1
2020-04-19 10:20:54,4,19,10,20,1
2020-04-19 10:20:56,4,19,10,20,1
2020-04-19 10:21:00,4,19,10,21,1
2020-04-19 10:21:03,4,19,10,21,1
2020-04-19 10:21:06,4,19,10,21,1
2020-04-19 10:23:26,4,19,10,23,1
2020-04-19 10:24:11,4,19,10,24,1
2020-04-19 10:26:40,4,19,10,26,1
2020-04-19 10:26:57,4,19,10,26,1
2020-04-19 10:33:39,4,19,10,33,1
2020-04-19 10:33:42,4,19,10,33,1
2020-04-19 10:33:48,4,19,10,33,1
2020-04-19 10:33:52,4,19,10,33,1
2020-04-19 10:33:55,4,19,10,33,1
2020-04-19 10:38:01,4,19,10,38,1
2020-04-19 10:38:06,4,19,10,38,1
2020-04-19 10:38:31,4,19,10,38,1
2020-04-19 10:38:52,4,19,10,38,1
2020-04-19 10:39:57,4,19,10,39,1
2020-04-19 10:40:02,4,19,10,40,1
2020-04-19 10:43:56,4,19,10,43,1
2020-04-19 10:44:44,4,19,10,44,1
2020-04-19 10:44:49,4,19,10,44,1
2020-04-19 10:44:52,4,19,10,44,1
2020-04-19 10:48:54,4,19,10,48,1
2020-04-19 10:52:27,4,19,10,52,1
2020-04-19 10:52:49,4,19,10,52,1
2020-04-19 10:52:53,4,19,10,52,1
2020-04-19 10:57:38,4,19,10,57,1
2020-04-19 10:57:50,4,19,10,57,1
2020-04-19 10:57:59,4,19,10,57,1
2020-04-19 10:58:16,4,19,10,58,1
2020-04-19 10:58:19,4,19,10,58,1
2020-04-19 11:00:13,4,19,11,0,1
2020-04-19 11:00:19,4,19,11,0,1
2020-04-19 11:00:30,4,19,11,0,1
2020-04-19 11:00:45,4,19,11,0,1
2020-04-19 11:00:48,4,19,11,0,1
2020-04-19 11:02:52,4,19,11,2,1
2020-04-19 11:03:01,4,19,11,3,1
2020-04-19 11:03:16,4,19,11,3,1
2020-04-19 11:03:22,4,19,11,3,1
2020-04-19 11:04:13,4,19,11,4,1
2020-04-19 11:05:39,4,19,11,5,1
2020-04-19 11:08:44,4,19,11,8,1
2020-04-19 11:08:46,4,19,11,8,1
2020-04-19 11:08:49,4,19,11,8,1
2020-04-19 11:09:04,4,19,11,9,1
2020-04-19 11:09:07,4,19,11,9,1
2020-04-19 11:09:10,4,19,11,9,1
2020-04-19 11:09:13,4,19,11,9,1
2020-04-19 11:09:16,4,19,11,9,1
2020-04-19 11:09:21,4,19,11,9,1
2020-04-19 11:09:28,4,19,11,9,1
2020-04-19 11:09:40,4,19,11,9,1
2020-04-19 11:09:43,4,19,11,9,1
2020-04-19 11:09:52,4,19,11,9,1
2020-04-19 11:10:15,4,19,11,10,1
2020-04-19 11:10:21,4,19,11,10,1
2020-04-19 11:12:50,4,19,11,12,1
2020-04-19 11:13:40,4,19,11,13,1
2020-04-19 11:13:46,4,19,11,13,1
2020-04-19 11:13:50,4,19,11,13,1
2020-04-19 11:13:53,4,19,11,13,1
2020-04-19 11:14:02,4,19,11,14,1
2020-04-19 11:14:06,4,19,11,14,1
2020-04-19 11:14:08,4,19,11,14,1
2020-04-19 11:14:14,4,19,11,14,1
2020-04-19 11:14:16,4,19,11,14,1
2020-04-19 11:14:20,4,19,11,14,1
2020-04-19 11:14:23,4,19,11,14,1
2020-04-19 11:14:43,4,19,11,14,1
2020-04-19 11:15:05,4,19,11,15,1
2020-04-19 11:15:26,4,19,11,15,1
2020-04-19 11:16:36,4,19,11,16,1
2020-04-19 11:18:09,4,19,11,18,1
2020-04-19 11:21:37,4,19,11,21,1
2020-04-19 11:33:33,4,19,11,33,1
2020-04-19 11:33:45,4,19,11,33,1
2020-04-19 11:33:49,4,19,11,33,1
2020-04-19 11:33:52,4,19,11,33,1
2020-04-19 11:33:55,4,19,11,33,1
2020-04-19 11:34:07,4,19,11,34,1
2020-04-19 11:34:11,4,19,11,34,1
2020-04-19 11:34:21,4,19,11,34,1
2020-04-19 11:34:24,4,19,11,34,1
2020-04-19 11:34:28,4,19,11,34,1
2020-04-19 11:34:33,4,19,11,34,1
2020-04-19 11:34:38,4,19,11,34,1
2020-04-19 11:34:44,4,19,11,34,1
2020-04-19 11:34:47,4,19,11,34,1
2020-04-19 11:34:50,4,19,11,34,1
2020-04-19 11:34:53,4,19,11,34,1
2020-04-19 11:34:57,4,19,11,34,1
2020-04-19 11:35:34,4,19,11,35,1
2020-04-19 11:35:41,4,19,11,35,1
2020-04-19 11:35:42,4,19,11,35,1
2020-04-19 11:35:46,4,19,11,35,1
2020-04-19 11:35:50,4,19,11,35,1
2020-04-19 11:35:53,4,19,11,35,1
2020-04-19 11:35:56,4,19,11,35,1
2020-04-19 11:35:59,4,19,11,35,1
2020-04-19 11:36:05,4,19,11,36,1
2020-04-19 11:36:10,4,19,11,36,1
2020-04-19 11:36:14,4,19,11,36,1
2020-04-19 11:36:20,4,19,11,36,1
2020-04-19 11:36:30,4,19,11,36,1
2020-04-19 11:36:33,4,19,11,36,1
2020-04-19 11:36:48,4,19,11,36,1
2020-04-19 11:36:54,4,19,11,36,1
2020-04-19 11:37:07,4,19,11,37,1
2020-04-19 11:37:10,4,19,11,37,1
2020-04-19 11:37:56,4,19,11,37,1
2020-04-19 11:38:05,4,19,11,38,1
2020-04-19 11:38:11,4,19,11,38,1
2020-04-19 11:38:15,4,19,11,38,1
2020-04-19 11:38:20,4,19,11,38,1
2020-04-19 11:38:24,4,19,11,38,1
2020-04-19 11:38:30,4,19,11,38,1
2020-04-19 11:38:39,4,19,11,38,1
2020-04-19 11:38:45,4,19,11,38,1
2020-04-19 11:39:07,4,19,11,39,1
2020-04-19 11:39:17,4,19,11,39,1
2020-04-19 11:39:44,4,19,11,39,1
2020-04-19 11:40:31,4,19,11,40,1
2020-04-19 11:40:37,4,19,11,40,1
2020-04-19 11:40:45,4,19,11,40,1
2020-04-19 11:40:49,4,19,11,40,1
2020-04-19 11:40:55,4,19,11,40,1
2020-04-19 11:40:59,4,19,11,40,1
2020-04-19 11:41:04,4,19,11,41,1
2020-04-19 11:41:08,4,19,11,41,1
2020-04-19 11:41:13,4,19,11,41,1
2020-04-19 11:41:17,4,19,11,41,1
2020-04-19 11:41:22,4,19,11,41,1
2020-04-19 11:41:26,4,19,11,41,1
2020-04-19 11:41:30,4,19,11,41,1
2020-04-19 11:41:38,4,19,11,41,1
2020-04-19 11:41:42,4,19,11,41,1
2020-04-19 11:41:46,4,19,11,41,1
2020-04-19 11:41:50,4,19,11,41,1
2020-04-19 11:41:54,4,19,11,41,1
2020-04-19 11:41:59,4,19,11,41,1
2020-04-19 11:42:03,4,19,11,42,1
2020-04-19 11:42:07,4,19,11,42,1
2020-04-19 11:42:12,4,19,11,42,1
2020-04-19 11:42:20,4,19,11,42,1
2020-04-19 11:42:24,4,19,11,42,1
2020-04-19 11:50:27,4,19,11,50,1
2020-04-19 11:50:33,4,19,11,50,1
2020-04-19 11:50:54,4,19,11,50,1
2020-04-19 11:51:06,4,19,11,51,1
2020-04-19 11:51:12,4,19,11,51,1
2020-04-19 11:51:26,4,19,11,51,1
2020-04-19 11:51:32,4,19,11,51,1
2020-04-19 11:51:44,4,19,11,51,1
2020-04-19 11:51:53,4,19,11,51,1
2020-04-19 11:51:59,4,19,11,51,1
2020-04-19 11:52:05,4,19,11,52,1
2020-04-19 11:52:21,4,19,11,52,1
2020-04-19 11:52:25,4,19,11,52,1
2020-04-19 11:52:38,4,19,11,52,1
2020-04-19 11:52:53,4,19,11,52,1
2020-04-19 11:53:00,4,19,11,53,1
2020-04-19 11:53:09,4,19,11,53,1
2020-04-19 11:53:15,4,19,11,53,1
2020-04-19 11:53:30,4,19,11,53,1
2020-04-19 11:53:34,4,19,11,53,1
2020-04-19 11:53:39,4,19,11,53,1
2020-04-19 11:53:45,4,19,11,53,1
2020-04-19 11:53:51,4,19,11,53,1
2020-04-19 11:53:57,4,19,11,53,1
2020-04-19 11:54:03,4,19,11,54,1
2020-04-19 11:54:09,4,19,11,54,1
2020-04-19 11:54:13,4,19,11,54,1
2020-04-19 11:54:21,4,19,11,54,1
2020-04-19 11:54:25,4,19,11,54,1
2020-04-19 11:54:33,4,19,11,54,1
2020-04-19 11:56:47,4,19,11,56,1
2020-04-19 11:57:26,4,19,11,57,1
2020-04-19 11:57:31,4,19,11,57,1
2020-04-19 11:57:35,4,19,11,57,1
2020-04-19 11:57:41,4,19,11,57,1
2020-04-19 11:57:47,4,19,11,57,1
2020-04-19 11:57:53,4,19,11,57,1
2020-04-19 11:57:59,4,19,11,57,1
2020-04-19 11:58:08,4,19,11,58,1
2020-04-19 11:58:14,4,19,11,58,1
2020-04-19 11:58:17,4,19,11,58,1
2020-04-19 11:58:22,4,19,11,58,1
2020-04-19 11:58:28,4,19,11,58,1
2020-04-19 11:58:34,4,19,11,58,1
2020-04-19 11:58:40,4,19,11,58,1
2020-04-19 11:59:52,4,19,11,59,1
2020-04-19 12:00:04,4,19,12,0,1
2020-04-19 12:00:08,4,19,12,0,1
2020-04-19 12:00:18,4,19,12,0,1
2020-04-19 12:00:23,4,19,12,0,1
2020-04-19 12:00:26,4,19,12,0,1
2020-04-19 12:00:31,4,19,12,0,1
2020-04-19 12:01:02,4,19,12,1,1
2020-04-19 12:03:43,4,19,12,3,1
2020-04-19 12:07:22,4,19,12,7,1
2020-04-19 12:07:25,4,19,12,7,1
2020-04-19 12:07:28,4,19,12,7,1
2020-04-19 12:07:31,4,19,12,7,1
2020-04-19 12:07:34,4,19,12,7,1
2020-04-19 12:07:37,4,19,12,7,1
2020-04-19 12:09:29,4,19,12,9,1
2020-04-19 12:09:32,4,19,12,9,1
2020-04-19 12:09:35,4,19,12,9,1
2020-04-19 12:09:38,4,19,12,9,1
2020-04-19 12:09:41,4,19,12,9,1
2020-04-19 12:20:43,4,19,12,20,1
2020-04-19 12:21:10,4,19,12,21,1
2020-04-19 12:37:28,4,19,12,37,1
2020-04-19 12:38:01,4,19,12,38,1
2020-04-19 12:38:06,4,19,12,38,1
2020-04-19 12:38:23,4,19,12,38,1
2020-04-19 12:39:09,4,19,12,39,1
2020-04-19 12:40:03,4,19,12,40,1
2020-04-19 12:40:15,4,19,12,40,1
2020-04-19 12:48:31,4,19,12,48,1
2020-04-19 12:57:45,4,19,12,57,1
2020-04-19 12:59:51,4,19,12,59,1
2020-04-19 12:59:54,4,19,12,59,1
2020-04-19 13:02:07,4,19,13,2,1
2020-04-19 13:02:10,4,19,13,2,1
2020-04-19 13:03:12,4,19,13,3,1
2020-04-19 13:03:15,4,19,13,3,1
2020-04-19 13:03:19,4,19,13,3,1
2020-04-19 13:03:25,4,19,13,3,1
2020-04-19 13:06:50,4,19,13,6,1
2020-04-19 13:07:08,4,19,13,7,1
2020-04-19 13:07:15,4,19,13,7,1
2020-04-19 13:07:20,4,19,13,7,1
2020-04-19 13:07:32,4,19,13,7,1
2020-04-19 13:07:41,4,19,13,7,1
2020-04-19 13:07:51,4,19,13,7,1
2020-04-19 13:07:56,4,19,13,7,1
2020-04-19 13:08:02,4,19,13,8,1
2020-04-19 13:08:06,4,19,13,8,1
2020-04-19 13:08:12,4,19,13,8,1
2020-04-19 13:08:18,4,19,13,8,1
2020-04-19 13:08:21,4,19,13,8,1
2020-04-19 13:08:26,4,19,13,8,1
2020-04-19 13:08:30,4,19,13,8,1
2020-04-19 13:08:39,4,19,13,8,1
2020-04-19 13:08:42,4,19,13,8,1
2020-04-19 13:08:56,4,19,13,8,1
2020-04-19 13:09:18,4,19,13,9,1
2020-04-19 13:09:20,4,19,13,9,1
2020-04-19 13:09:24,4,19,13,9,1
2020-04-19 13:09:35,4,19,13,9,1
2020-04-19 13:09:44,4,19,13,9,1
2020-04-19 13:09:54,4,19,13,9,1
2020-04-19 13:10:09,4,19,13,10,1
2020-04-19 13:10:13,4,19,13,10,1
2020-04-19 13:10:16,4,19,13,10,1
2020-04-19 13:10:19,4,19,13,10,1
2020-04-19 13:10:22,4,19,13,10,1
2020-04-19 13:10:33,4,19,13,10,1
2020-04-19 13:10:38,4,19,13,10,1
2020-04-19 13:10:41,4,19,13,10,1
2020-04-19 13:10:50,4,19,13,10,1
2020-04-19 13:10:55,4,19,13,10,1
2020-04-19 13:10:57,4,19,13,10,1
2020-04-19 13:11:01,4,19,13,11,1
2020-04-19 13:11:53,4,19,13,11,1
2020-04-19 13:12:00,4,19,13,12,1
2020-04-19 13:12:31,4,19,13,12,1
2020-04-19 13:12:37,4,19,13,12,1
2020-04-19 13:12:46,4,19,13,12,1
2020-04-19 13:12:49,4,19,13,12,1
2020-04-19 13:12:56,4,19,13,12,1
2020-04-19 13:13:08,4,19,13,13,1
2020-04-19 13:13:42,4,19,13,13,1
2020-04-19 13:13:53,4,19,13,13,1
2020-04-19 13:13:57,4,19,13,13,1
2020-04-19 13:14:39,4,19,13,14,1
2020-04-19 13:14:45,4,19,13,14,1
2020-04-19 13:14:51,4,19,13,14,1
2020-04-19 13:15:11,4,19,13,15,1
2020-04-19 13:15:41,4,19,13,15,1
2020-04-19 13:21:03,4,19,13,21,1
2020-04-19 13:21:10,4,19,13,21,1
2020-04-19 13:24:20,4,19,13,24,1
2020-04-19 13:31:27,4,19,13,31,1
