DateTime,Month,Day,Hour,Minute,Detection
2020-04-19 00:04:39,4,19,0,4,1
2020-04-19 00:04:42,4,19,0,4,1
2020-04-19 00:04:45,4,19,0,4,1
2020-04-19 00:04:48,4,19,0,4,1
2020-04-19 00:04:51,4,19,0,4,1
2020-04-19 00:04:54,4,19,0,4,1
2020-04-19 00:04:57,4,19,0,4,1
2020-04-19 00:05:12,4,19,0,5,1
2020-04-19 00:43:06,4,19,0,43,1
2020-04-19 00:43:09,4,19,0,43,1
2020-04-19 00:43:12,4,19,0,43,1
2020-04-19 00:48:26,4,19,0,48,1
2020-04-19 00:48:38,4,19,0,48,1
2020-04-19 00:48:41,4,19,0,48,1
2020-04-19 00:48:44,4,19,0,48,1
2020-04-19 00:48:47,4,19,0,48,1
2020-04-19 01:10:23,4,19,1,10,1
2020-04-19 01:10:26,4,19,1,10,1
2020-04-19 01:10:29,4,19,1,10,1
2020-04-19 01:10:32,4,19,1,10,1
2020-04-19 01:10:35,4,19,1,10,1
2020-04-19 01:10:39,4,19,1,10,1
2020-04-19 01:10:42,4,19,1,10,1
2020-04-19 01:10:45,4,19,1,10,1
2020-04-19 01:10:48,4,19,1,10,1
2020-04-19 01:10:51,4,19,1,10,1
2020-04-19 01:11:03,4,19,1,11,1
2020-04-19 01:11:07,4,19,1,11,1
2020-04-19 01:12:58,4,19,1,12,1
2020-04-19 01:13:01,4,19,1,13,1
2020-04-19 01:13:26,4,19,1,13,1
2020-04-19 01:13:44,4,19,1,13,1
2020-04-19 01:13:47,4,19,1,13,1
2020-04-19 01:13:50,4,19,1,13,1
2020-04-19 01:13:53,4,19,1,13,1
2020-04-19 01:13:56,4,19,1,13,1
2020-04-19 01:13:59,4,19,1,13,1
2020-04-19 01:14:02,4,19,1,14,1
2020-04-19 01:14:05,4,19,1,14,1
2020-04-19 01:14:08,4,19,1,14,1
2020-04-19 01:22:17,4,19,1,22,1
2020-04-19 01:29:59,4,19,1,29,1
2020-04-19 01:30:02,4,19,1,30,1
2020-04-19 01:30:32,4,19,1,30,1
2020-04-19 01:30:49,4,19,1,30,1
2020-04-19 01:30:52,4,19,1,30,1
2020-04-19 01:30:55,4,19,1,30,1
2020-04-19 01:30:58,4,19,1,30,1
2020-04-19 01:31:01,4,19,1,31,1
2020-04-19 01:31:04,4,19,1,31,1
2020-04-19 01:31:07,4,19,1,31,1
2020-04-19 01:31:10,4,19,1,31,1
2020-04-19 01:42:57,4,19,1,42,1
2020-04-19 01:43:02,4,19,1,43,1
2020-04-19 01:43:05,4,19,1,43,1
2020-04-19 01:43:08,4,19,1,43,1
2020-04-19 01:43:12,4,19,1,43,1
2020-04-19 01:47:00,4,19,1,47,1
2020-04-19 01:47:03,4,19,1,47,1
2020-04-19 01:47:59,4,19,1,47,1
2020-04-19 01:56:27,4,19,1,56,1
2020-04-19 01:56:30,4,19,1,56,1
2020-04-19 01:56:33,4,19,1,56,1
2020-04-19 02:05:01,4,19,2,5,1
2020-04-19 02:07:22,4,19,2,7,1
2020-04-19 02:07:25,4,19,2,7,1
2020-04-19 02:07:28,4,19,2,7,1
2020-04-19 02:07:58,4,19,2,7,1
2020-04-19 02:12:07,4,19,2,12,1
2020-04-19 02:12:10,4,19,2,12,1
2020-04-19 02:12:13,4,19,2,12,1
2020-04-19 02:12:16,4,19,2,12,1
2020-04-19 02:14:36,4,19,2,14,1
2020-04-19 02:14:39,4,19,2,14,1
2020-04-19 02:15:17,4,19,2,15,1
2020-04-19 02:18:52,4,19,2,18,1
2020-04-19 02:18:57,4,19,2,18,1
2020-04-19 02:19:00,4,19,2,19,1
2020-04-19 02:21:59,4,19,2,21,1
2020-04-19 02:23:39,4,19,2,23,1
2020-04-19 02:26:07,4,19,2,26,1
2020-04-19 02:27:37,4,19,2,27,1
2020-04-19 02:29:46,4,19,2,29,1
2020-04-19 02:29:49,4,19,2,29,1
2020-04-19 02:29:52,4,19,2,29,1
2020-04-19 02:29:55,4,19,2,29,1
2020-04-19 02:29:59,4,19,2,29,1
2020-04-19 02:30:31,4,19,2,30,1
2020-04-19 02:30:34,4,19,2,30,1
2020-04-19 02:30:37,4,19,2,30,1
2020-04-19 02:30:40,4,19,2,30,1
2020-04-19 02:31:33,4,19,2,31,1
2020-04-19 02:41:33,4,19,2,41,1
2020-04-19 02:41:36,4,19,2,41,1
2020-04-19 02:41:39,4,19,2,41,1
2020-04-19 02:41:42,4,19,2,41,1
2020-04-19 02:46:30,4,19,2,46,1
2020-04-19 02:47:05,4,19,2,47,1
2020-04-19 02:47:08,4,19,2,47,1
2020-04-19 03:01:34,4,19,3,1,1
2020-04-19 03:01:37,4,19,3,1,1
2020-04-19 03:01:40,4,19,3,1,1
2020-04-19 03:02:39,4,19,3,2,1
2020-04-19 03:02:42,4,19,3,2,1
2020-04-19 03:03:26,4,19,3,3,1
2020-04-19 03:03:29,4,19,3,3,1
2020-04-19 03:03:32,4,19,3,3,1
2020-04-19 03:03:35,4,19,3,3,1
2020-04-19 03:03:38,4,19,3,3,1
2020-04-19 03:03:41,4,19,3,3,1
2020-04-19 03:03:44,4,19,3,3,1
2020-04-19 03:04:35,4,19,3,4,1
2020-04-19 03:20:31,4,19,3,20,1
2020-04-19 03:20:34,4,19,3,20,1
2020-04-19 03:20:37,4,19,3,20,1
2020-04-19 03:22:54,4,19,3,22,1
2020-04-19 03:22:57,4,19,3,22,1
2020-04-19 03:23:00,4,19,3,23,1
2020-04-19 03:23:03,4,19,3,23,1
2020-04-19 03:23:06,4,19,3,23,1
2020-04-19 03:47:32,4,19,3,47,1
2020-04-19 03:47:35,4,19,3,47,1
2020-04-19 03:47:38,4,19,3,47,1
2020-04-19 03:47:46,4,19,3,47,1
2020-04-19 03:47:49,4,19,3,47,1
2020-04-19 03:47:52,4,19,3,47,1
2020-04-19 03:48:34,4,19,3,48,1
2020-04-19 03:48:37,4,19,3,48,1
2020-04-19 03:48:40,4,19,3,48,1
2020-04-19 03:48:43,4,19,3,48,1
