DateTime,Month,Day,Hour,Minute,Detection
2020-03-21 19:59:00,3,21,19,59,1
2020-03-21 19:59:01,3,21,19,59,1
2020-03-21 19:59:04,3,21,19,59,1
2020-03-21 19:59:22,3,21,19,59,1
2020-03-21 19:59:25,3,21,19,59,1
2020-03-21 19:59:28,3,21,19,59,1
2020-03-21 19:59:31,3,21,19,59,1
2020-03-21 19:59:34,3,21,19,59,1
2020-03-21 19:59:37,3,21,19,59,1
2020-03-21 19:59:40,3,21,19,59,1
2020-03-21 19:59:43,3,21,19,59,1
2020-03-21 19:59:46,3,21,19,59,1
2020-03-21 19:59:49,3,21,19,59,1
2020-03-21 19:59:52,3,21,19,59,1
2020-03-21 19:59:55,3,21,19,59,1
2020-03-21 19:59:58,3,21,19,59,1
2020-03-21 20:00:01,3,21,20,0,1
2020-03-21 20:00:04,3,21,20,0,1
2020-03-21 20:00:07,3,21,20,0,1
2020-03-21 20:00:10,3,21,20,0,1
2020-03-21 20:00:13,3,21,20,0,1
2020-03-21 20:00:16,3,21,20,0,1
2020-03-21 20:00:19,3,21,20,0,1
2020-03-21 20:00:22,3,21,20,0,1
2020-03-21 20:00:25,3,21,20,0,1
2020-03-21 20:00:28,3,21,20,0,1
2020-03-21 20:00:31,3,21,20,0,1
2020-03-21 20:00:34,3,21,20,0,1
2020-03-21 20:00:37,3,21,20,0,1
2020-03-21 20:00:40,3,21,20,0,1
2020-03-21 20:00:51,3,21,20,0,1
2020-03-21 20:00:54,3,21,20,0,1
2020-03-21 20:01:16,3,21,20,1,1
2020-03-21 20:01:19,3,21,20,1,1
2020-03-21 20:01:22,3,21,20,1,1
2020-03-21 20:01:25,3,21,20,1,1
2020-03-21 20:02:14,3,21,20,2,1
2020-03-21 20:02:28,3,21,20,2,1
2020-03-21 20:02:31,3,21,20,2,1
2020-03-21 20:02:34,3,21,20,2,1
2020-03-21 20:02:37,3,21,20,2,1
2020-03-21 20:02:40,3,21,20,2,1
2020-03-21 20:02:43,3,21,20,2,1
2020-03-21 20:02:46,3,21,20,2,1
2020-03-21 20:02:49,3,21,20,2,1
2020-03-21 20:02:52,3,21,20,2,1
2020-03-21 20:02:55,3,21,20,2,1
2020-03-21 20:02:58,3,21,20,2,1
2020-03-21 20:03:01,3,21,20,3,1
2020-03-21 20:03:04,3,21,20,3,1
2020-03-21 20:03:07,3,21,20,3,1
2020-03-21 20:03:10,3,21,20,3,1
2020-03-21 20:03:13,3,21,20,3,1
2020-03-21 20:03:16,3,21,20,3,1
2020-03-21 20:03:19,3,21,20,3,1
2020-03-21 20:03:22,3,21,20,3,1
2020-03-21 20:03:25,3,21,20,3,1
2020-03-21 20:03:37,3,21,20,3,1
2020-03-21 20:03:40,3,21,20,3,1
2020-03-21 20:04:02,3,21,20,4,1
2020-03-21 20:04:05,3,21,20,4,1
2020-03-21 20:04:22,3,21,20,4,1
2020-03-21 20:04:49,3,21,20,4,1
2020-03-21 20:05:15,3,21,20,5,1
2020-03-21 20:05:26,3,21,20,5,1
2020-03-21 20:05:29,3,21,20,5,1
2020-03-21 20:05:32,3,21,20,5,1
2020-03-21 20:07:24,3,21,20,7,1
2020-03-21 20:07:27,3,21,20,7,1
2020-03-21 20:07:30,3,21,20,7,1
2020-03-21 20:07:33,3,21,20,7,1
2020-03-21 20:12:18,3,21,20,12,1
2020-03-21 20:13:04,3,21,20,13,1
2020-03-21 20:13:07,3,21,20,13,1
2020-03-21 20:13:10,3,21,20,13,1
2020-03-21 20:17:29,3,21,20,17,1
